sampling,model,precision,recall,f1,roc_auc
smote,Random Forest,1.0,0.7857142857142857,0.88,0.9971378483775177
smote,XGBoost,1.0,0.7857142857142857,0.88,0.9921380272619942
none,XGBoost,1.0,0.7142857142857143,0.8333333333333333,0.9718704160852921
undersample,XGBoost,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.9720493005616974
none,Random Forest,1.0,0.6428571428571429,0.782608695652174,0.9253693964437767
none,Logistic Regression,0.8,0.5714285714285714,0.6666666666666666,0.9898840828592894
undersample,Random Forest,0.5,0.7857142857142857,0.6111111111111112,0.9661505849522378
smote,Logistic Regression,0.3793103448275862,0.7857142857142857,0.5116279069767441,0.9784891417122822
undersample,Logistic Regression,0.3125,0.7142857142857143,0.43478260869565216,0.9850899788916317
