experiment,model,RMSE,MAE,R2
baseline,Linear Regression,0.7455813830127761,0.5332001304956551,0.5757877060324511
baseline,Ridge Regression,0.7450104385507028,0.5332432564708962,0.5764371560590189
baseline,Random Forest,0.5039602414072009,0.3268118504360468,0.8061857564039718
scaled,Linear Regression,0.7455813830127763,0.5332001304956564,0.575787706032451
scaled,Ridge Regression,0.7455376795707841,0.5331878556383068,0.5758374363353846
scaled,Random Forest,0.5038019900730704,0.3267529450096902,0.8063074586513359
polynomial_degree_2,Linear Regression,0.6813967448044824,0.4670009334696568,0.6456819729261731
polynomial_degree_2,Ridge Regression,0.7477660449449097,0.5291139531312583,0.5732980563646899
polynomial_degree_2,Random Forest,0.5128995071097516,0.3347380484617251,0.799249006408238
