algorithm,clusters_found,noise_points,silhouette,davies_bouldin
DBSCAN,2,48,0.41599819851063086,1.04490154756163
K-Means,2,0,0.37323636511581165,1.2603186547850453
Agglomerative,2,0,0.3680209405194812,1.2849735633420112
