k,inertia,silhouette,dbi
2,2599.3855593561407,0.37323636511581165,1.2603186547850453
3,2149.283956221759,0.3567685389017652,1.1736367961162066
4,1847.3993507368202,0.36831361173098737,1.1453905482790419
5,1541.5302652871264,0.3502006748003402,1.1277693805310007
6,1313.9568785421689,0.3525837344718669,0.9588095897723689
7,1173.72859576511,0.36348170255807954,0.8495146257418585
8,1050.9697424767132,0.36313723824119354,0.9354395865742433
9,975.0321270445559,0.3536253902169056,1.016682928496008
10,913.56521130419,0.357618938148554,0.9532650916449489
